HEROIC,ENCE,Team Liquid,FaZe Clan,Virtus.pro,Natus Vincere,Apeks,Skade,We Live Again,Karagümrük Espor,Where Team,Bystanders,Entropiq,Blaze Esports,Orgless (EU),Norsemen Hkraft,tournament,tournament_number,game_number,Redline,AfterAlt,BBL Esports,EXhalatioN,Digital Athletics,FIVE,Mutiny,SuperMassive Blaze,Road To Glory,Question Mark,PLAN B,DiNG,SKA Esports,Hall of Game,Tokyo Manji Gang,Galakticos,Vanir,Gear Up,type
3.0,5,6,2,2,4,11.0,4.0,7.0,8.0,0.0,1.0,0.0,6.0,1.0,0.0,data/esl_spring.csv,0,0,,,,,,,,,,,,,,,,,,,k
3.0,6,8,5,3,4,17.0,4.0,7.0,12.0,0.0,1.0,0.0,16.0,6.0,0.0,data/esl_spring.csv,0,1,,,,,,,,,,,,,,,,,,,p
2.0,10,0,10,2,1,10.0,4.0,1.0,3.0,0.0,1.0,12.0,2.0,0.0,1.0,data/esl_spring.csv,0,2,,,,,,,,,,,,,,,,,,,k
2.0,14,0,20,2,1,16.0,4.0,1.0,8.0,0.0,4.0,14.0,3.0,0.0,2.0,data/esl_spring.csv,0,3,,,,,,,,,,,,,,,,,,,p
3.0,10,4,0,2,2,5.0,2.0,0.0,4.0,5.0,8.0,4.0,0.0,7.0,1.0,data/esl_spring.csv,0,4,,,,,,,,,,,,,,,,,,,k
3.0,13,8,0,4,7,6.0,3.0,0.0,4.0,5.0,14.0,4.0,0.0,17.0,1.0,data/esl_spring.csv,0,5,,,,,,,,,,,,,,,,,,,p
15.0,5,3,2,1,2,0.0,5.0,12.0,4.0,0.0,1.0,5.0,3.0,1.0,1.0,data/esl_spring.csv,0,6,,,,,,,,,,,,,,,,,,,k
25.0,9,3,2,1,2,0.0,8.0,18.0,4.0,1.0,6.0,6.0,3.0,3.0,1.0,data/esl_spring.csv,0,7,,,,,,,,,,,,,,,,,,,p
0.0,6,5,1,1,10,9.0,0.0,5.0,6.0,0.0,3.0,3.0,7.0,0.0,2.0,data/esl_spring.csv,0,8,,,,,,,,,,,,,,,,,,,k
0.0,9,15,1,5,11,15.0,0.0,6.0,6.0,0.0,5.0,3.0,12.0,0.0,2.0,data/esl_spring.csv,0,9,,,,,,,,,,,,,,,,,,,p
8.0,3,4,10,10,0,4.0,1.0,2.0,0.0,0.0,1.0,10.0,0.0,2.0,3.0,data/esl_spring.csv,0,10,,,,,,,,,,,,,,,,,,,k
13.0,3,6,20,16,0,4.0,2.0,3.0,3.0,0.0,1.0,10.0,0.0,6.0,3.0,data/esl_spring.csv,0,11,,,,,,,,,,,,,,,,,,,p
5.0,3,10,6,2,10,1.0,7.0,2.0,4.0,1.0,0.0,5.0,3.0,2.0,1.0,data/esl_spring.csv,0,12,,,,,,,,,,,,,,,,,,,k
10.0,3,13,8,2,20,1.0,13.0,6.0,5.0,1.0,0.0,6.0,3.0,2.0,1.0,data/esl_spring.csv,0,13,,,,,,,,,,,,,,,,,,,p
5.0,13,5,4,8,6,1.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,data/esl_spring.csv,0,14,,,,,,,,,,,,,,,,,,,k
10.0,19,6,4,18,6,1.0,7.0,3.0,3.0,0.0,6.0,3.0,1.0,3.0,1.0,data/esl_spring.csv,0,15,,,,,,,,,,,,,,,,,,,p
1.0,3,1,3,11,4,2.0,6.0,1.0,5.0,9.0,3.0,3.0,0.0,0.0,9.0,data/esl_spring.csv,0,16,,,,,,,,,,,,,,,,,,,k
3.0,7,1,3,14,4,2.0,12.0,1.0,6.0,19.0,3.0,3.0,0.0,1.0,14.0,data/esl_spring.csv,0,17,,,,,,,,,,,,,,,,,,,p
0.0,2,0,5,6,1,17.0,1.0,3.0,10.0,6.0,2.0,2.0,0.0,0.0,4.0,data/esl_spring.csv,0,18,,,,,,,,,,,,,,,,,,,k
0.0,6,0,5,8,1,20.0,6.0,4.0,20.0,12.0,2.0,2.0,0.0,0.0,5.0,data/esl_spring.csv,0,19,,,,,,,,,,,,,,,,,,,p
5.0,11,0,14,1,2,3.0,3.0,2.0,7.0,2.0,3.0,1.0,3.0,2.0,1.0,data/esl_spring.csv,0,20,,,,,,,,,,,,,,,,,,,k
9.0,21,1,19,1,2,5.0,3.0,2.0,10.0,2.0,3.0,2.0,3.0,8.0,1.0,data/esl_spring.csv,0,21,,,,,,,,,,,,,,,,,,,p
11.0,3,2,2,1,9,0.0,0.0,15.0,2.0,6.0,1.0,3.0,2.0,2.0,0.0,data/esl_spring.csv,0,22,,,,,,,,,,,,,,,,,,,k
16.0,3,6,2,1,15,1.0,2.0,25.0,2.0,9.0,2.0,3.0,2.0,2.0,0.0,data/esl_spring.csv,0,23,,,,,,,,,,,,,,,,,,,p
11.0,1,1,4,9,4,5.0,3.0,10.0,0.0,2.0,6.0,0.0,0.0,1.0,1.0,data/esl_spring.csv,0,24,,,,,,,,,,,,,,,,,,,k
14.0,6,1,4,19,4,9.0,5.0,10.0,0.0,2.0,12.0,0.0,0.0,2.0,2.0,data/esl_spring.csv,0,25,,,,,,,,,,,,,,,,,,,p
5.0,1,13,10,1,3,4.0,0.0,3.0,5.0,2.0,8.0,1.0,1.0,1.0,0.0,data/esl_spring.csv,0,26,,,,,,,,,,,,,,,,,,,k
6.0,1,19,13,1,4,8.0,0.0,8.0,5.0,4.0,18.0,1.0,1.0,1.0,0.0,data/esl_spring.csv,0,27,,,,,,,,,,,,,,,,,,,p
1.0,3,1,4,8,8,2.0,2.0,1.0,1.0,6.0,1.0,7.0,2.0,8.0,4.0,data/esl_spring.csv,0,28,,,,,,,,,,,,,,,,,,,k
1.0,7,1,5,13,18,2.0,5.0,1.0,1.0,12.0,2.0,9.0,2.0,8.0,4.0,data/esl_spring.csv,0,29,,,,,,,,,,,,,,,,,,,p
9.0,0,13,0,2,6,0.0,1.0,1.0,0.0,10.0,1.0,7.0,4.0,0.0,7.0,data/esl_spring.csv,0,30,,,,,,,,,,,,,,,,,,,k
12.0,0,23,0,2,7,2.0,1.0,1.0,0.0,16.0,6.0,8.0,8.0,0.0,7.0,data/esl_spring.csv,0,31,,,,,,,,,,,,,,,,,,,p
6.0,1,8,6,4,6,2.0,8.0,3.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,data/esl_spring.csv,0,32,,,,,,,,,,,,,,,,,,,k
8.0,1,14,7,9,7,2.0,18.0,3.0,4.0,5.0,2.0,1.0,3.0,1.0,6.0,data/esl_spring.csv,0,33,,,,,,,,,,,,,,,,,,,p
0.0,5,3,3,2,5,4.0,11.0,1.0,0.0,2.0,4.0,0.0,8.0,7.0,6.0,data/esl_spring.csv,0,34,,,,,,,,,,,,,,,,,,,k
0.0,5,3,6,4,6,8.0,16.0,1.0,0.0,3.0,4.0,0.0,18.0,13.0,6.0,data/esl_spring.csv,0,35,,,,,,,,,,,,,,,,,,,p
2.0,6,3,9,9,5,,2.0,,,,,,,,,data/pcs4.csv,1,0,5.0,2.0,9.0,1.0,3.0,2.0,1.0,2.0,0.0,,,,,,,,,,k
3.0,11,3,13,19,8,,4.0,,,,,,,,,data/pcs4.csv,1,1,5.0,2.0,9.0,1.0,4.0,2.0,1.0,8.0,0.0,,,,,,,,,,p
2.0,8,7,4,9,2,,0.0,,,,,,,,,data/pcs4.csv,1,2,5.0,3.0,8.0,0.0,1.0,3.0,4.0,1.0,0.0,,,,,,,,,,k
5.0,18,12,8,11,2,,0.0,,,,,,,,,data/pcs4.csv,1,3,5.0,4.0,14.0,0.0,2.0,3.0,4.0,1.0,0.0,,,,,,,,,,p
11.0,0,0,3,8,7,,2.0,,,,,,,,,data/pcs4.csv,1,4,12.0,3.0,9.0,3.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,k
15.0,0,0,4,8,9,,8.0,,,,,,,,,data/pcs4.csv,1,5,17.0,4.0,19.0,6.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,p
8.0,3,3,5,10,6,,3.0,,,,,,,,,data/pcs4.csv,1,6,12.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,,,,,,,,,,k
14.0,3,4,10,13,10,,5.0,,,,,,,,,data/pcs4.csv,1,7,22.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,,,,,,,,,,p
5.0,0,4,6,4,0,,5.0,,,,,,,,,data/pcs4.csv,1,8,2.0,0.0,5.0,14.0,8.0,0.0,4.0,3.0,0.0,,,,,,,,,,k
5.0,0,5,10,7,0,,6.0,,,,,,,,,data/pcs4.csv,1,9,2.0,0.0,11.0,24.0,13.0,0.0,6.0,3.0,0.0,,,,,,,,,,p
