HEROIC,ENCE,TEAM LIQUID,FAZE CLAN,VIRTUS.PRO,NATUS VINCERE,apeks,skade,we live again,karagümrük espor,where team,bystanders,entropiq,blaze esports,orgless (eu),norsemen hkraft,tournament,tournament_number,game_number,redline,afteralt,BBL ESPORTS,exhalation,digital athletics,five,mutiny,supermassive blaze,road to glory,QUESTION MARK,plan b,ding,ska esports,hall of game,tokyo manji gang,galakticos,vanir,gear up,type
3.0,5,6,2,2,4,11.0,4.0,7.0,8.0,0.0,1.0,0.0,6.0,1.0,0.0,esl_spring,0,0,,,,,,,,,,,,,,,,,,,k
2.0,10,0,10,2,1,10.0,4.0,1.0,3.0,0.0,1.0,12.0,2.0,0.0,1.0,esl_spring,0,2,,,,,,,,,,,,,,,,,,,k
3.0,10,4,0,2,2,5.0,2.0,0.0,4.0,5.0,8.0,4.0,0.0,7.0,1.0,esl_spring,0,4,,,,,,,,,,,,,,,,,,,k
15.0,5,3,2,1,2,0.0,5.0,12.0,4.0,0.0,1.0,5.0,3.0,1.0,1.0,esl_spring,0,6,,,,,,,,,,,,,,,,,,,k
0.0,6,5,1,1,10,9.0,0.0,5.0,6.0,0.0,3.0,3.0,7.0,0.0,2.0,esl_spring,0,8,,,,,,,,,,,,,,,,,,,k
8.0,3,4,10,10,0,4.0,1.0,2.0,0.0,0.0,1.0,10.0,0.0,2.0,3.0,esl_spring,0,10,,,,,,,,,,,,,,,,,,,k
5.0,3,10,6,2,10,1.0,7.0,2.0,4.0,1.0,0.0,5.0,3.0,2.0,1.0,esl_spring,0,12,,,,,,,,,,,,,,,,,,,k
5.0,13,5,4,8,6,1.0,3.0,3.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,esl_spring,0,14,,,,,,,,,,,,,,,,,,,k
1.0,3,1,3,11,4,2.0,6.0,1.0,5.0,9.0,3.0,3.0,0.0,0.0,9.0,esl_spring,0,16,,,,,,,,,,,,,,,,,,,k
0.0,2,0,5,6,1,17.0,1.0,3.0,10.0,6.0,2.0,2.0,0.0,0.0,4.0,esl_spring,0,18,,,,,,,,,,,,,,,,,,,k
5.0,11,0,14,1,2,3.0,3.0,2.0,7.0,2.0,3.0,1.0,3.0,2.0,1.0,esl_spring,0,20,,,,,,,,,,,,,,,,,,,k
11.0,3,2,2,1,9,0.0,0.0,15.0,2.0,6.0,1.0,3.0,2.0,2.0,0.0,esl_spring,0,22,,,,,,,,,,,,,,,,,,,k
11.0,1,1,4,9,4,5.0,3.0,10.0,0.0,2.0,6.0,0.0,0.0,1.0,1.0,esl_spring,0,24,,,,,,,,,,,,,,,,,,,k
5.0,1,13,10,1,3,4.0,0.0,3.0,5.0,2.0,8.0,1.0,1.0,1.0,0.0,esl_spring,0,26,,,,,,,,,,,,,,,,,,,k
1.0,3,1,4,8,8,2.0,2.0,1.0,1.0,6.0,1.0,7.0,2.0,8.0,4.0,esl_spring,0,28,,,,,,,,,,,,,,,,,,,k
9.0,0,13,0,2,6,0.0,1.0,1.0,0.0,10.0,1.0,7.0,4.0,0.0,7.0,esl_spring,0,30,,,,,,,,,,,,,,,,,,,k
