HEROIC,ENCE,TEAM LIQUID,FAZE CLAN,VIRTUS.PRO,NATUS VINCERE,apeks,skade,we live again,karagümrük espor,where team,bystanders,entropiq,blaze esports,orgless (eu),norsemen hkraft,tournament,tournament_number,game_number,redline,afteralt,BBL ESPORTS,exhalation,digital athletics,five,mutiny,supermassive blaze,road to glory,QUESTION MARK,plan b,ding,ska esports,hall of game,tokyo manji gang,galakticos,vanir,gear up,type
3.0,6,8,5,3,4,17.0,4.0,7.0,12.0,0.0,1.0,0.0,16.0,6.0,0.0,esl_spring,0,1,,,,,,,,,,,,,,,,,,,p
2.0,14,0,20,2,1,16.0,4.0,1.0,8.0,0.0,4.0,14.0,3.0,0.0,2.0,esl_spring,0,3,,,,,,,,,,,,,,,,,,,p
3.0,13,8,0,4,7,6.0,3.0,0.0,4.0,5.0,14.0,4.0,0.0,17.0,1.0,esl_spring,0,5,,,,,,,,,,,,,,,,,,,p
25.0,9,3,2,1,2,0.0,8.0,18.0,4.0,1.0,6.0,6.0,3.0,3.0,1.0,esl_spring,0,7,,,,,,,,,,,,,,,,,,,p
0.0,9,15,1,5,11,15.0,0.0,6.0,6.0,0.0,5.0,3.0,12.0,0.0,2.0,esl_spring,0,9,,,,,,,,,,,,,,,,,,,p
13.0,3,6,20,16,0,4.0,2.0,3.0,3.0,0.0,1.0,10.0,0.0,6.0,3.0,esl_spring,0,11,,,,,,,,,,,,,,,,,,,p
10.0,3,13,8,2,20,1.0,13.0,6.0,5.0,1.0,0.0,6.0,3.0,2.0,1.0,esl_spring,0,13,,,,,,,,,,,,,,,,,,,p
10.0,19,6,4,18,6,1.0,7.0,3.0,3.0,0.0,6.0,3.0,1.0,3.0,1.0,esl_spring,0,15,,,,,,,,,,,,,,,,,,,p
3.0,7,1,3,14,4,2.0,12.0,1.0,6.0,19.0,3.0,3.0,0.0,1.0,14.0,esl_spring,0,17,,,,,,,,,,,,,,,,,,,p
0.0,6,0,5,8,1,20.0,6.0,4.0,20.0,12.0,2.0,2.0,0.0,0.0,5.0,esl_spring,0,19,,,,,,,,,,,,,,,,,,,p
9.0,21,1,19,1,2,5.0,3.0,2.0,10.0,2.0,3.0,2.0,3.0,8.0,1.0,esl_spring,0,21,,,,,,,,,,,,,,,,,,,p
16.0,3,6,2,1,15,1.0,2.0,25.0,2.0,9.0,2.0,3.0,2.0,2.0,0.0,esl_spring,0,23,,,,,,,,,,,,,,,,,,,p
14.0,6,1,4,19,4,9.0,5.0,10.0,0.0,2.0,12.0,0.0,0.0,2.0,2.0,esl_spring,0,25,,,,,,,,,,,,,,,,,,,p
6.0,1,19,13,1,4,8.0,0.0,8.0,5.0,4.0,18.0,1.0,1.0,1.0,0.0,esl_spring,0,27,,,,,,,,,,,,,,,,,,,p
1.0,7,1,5,13,18,2.0,5.0,1.0,1.0,12.0,2.0,9.0,2.0,8.0,4.0,esl_spring,0,29,,,,,,,,,,,,,,,,,,,p
12.0,0,23,0,2,7,2.0,1.0,1.0,0.0,16.0,6.0,8.0,8.0,0.0,7.0,esl_spring,0,31,,,,,,,,,,,,,,,,,,,p
8.0,1,14,7,9,7,2.0,18.0,3.0,4.0,5.0,2.0,1.0,3.0,1.0,6.0,esl_spring,0,33,,,,,,,,,,,,,,,,,,,p
0.0,5,3,6,4,6,8.0,16.0,1.0,0.0,3.0,4.0,0.0,18.0,13.0,6.0,esl_spring,0,35,,,,,,,,,,,,,,,,,,,p
3.0,11,3,13,19,8,,4.0,,,,,,,,,pcs4,1,1,5.0,2.0,9.0,1.0,4.0,2.0,1.0,8.0,0.0,,,,,,,,,,p
